FoodQuality Service Tip CheckPlusTip
8.594 3.250 15.582 1.156
8.594 3.531 16.024 1.160
8.594 3.812 16.377 1.164
8.594 4.094 16.679 1.167
8.594 4.375 16.951 1.170
8.594 4.656 17.203 1.172
8.594 4.938 17.447 1.174
8.594 5.219 17.688 1.177
8.594 5.500 17.935 1.179
8.594 5.781 18.197 1.182
8.594 6.062 18.483 1.185
8.594 6.344 18.810 1.188
8.594 6.625 19.206 1.192
8.594 6.906 19.739 1.197
8.594 7.188 20.000 1.200
8.594 7.469 20.000 1.200
8.594 7.750 20.000 1.200
8.594 8.031 20.000 1.200
8.594 8.312 20.000 1.200
8.594 8.594 20.000 1.200
8.594 8.875 20.000 1.200
8.594 9.156 20.000 1.200
8.594 9.438 20.000 1.200
8.594 9.719 20.000 1.200
8.875 1.000 15.000 1.150
8.875 1.281 15.000 1.150
8.875 1.562 15.000 1.150
8.875 1.844 15.000 1.150
8.875 2.125 15.000 1.150
8.875 2.406 15.000 1.150
8.875 2.688 15.000 1.150
8.875 2.969 15.000 1.150
8.875 3.250 15.582 1.156
8.875 3.531 16.024 1.160
8.875 3.812 16.377 1.164
8.875 4.094 16.679 1.167
8.875 4.375 16.951 1.170
8.875 4.656 17.203 1.172
8.875 4.938 17.447 1.174
8.875 5.219 17.688 1.177
8.875 5.500 17.935 1.179
8.875 5.781 18.197 1.182
8.875 6.062 18.483 1.185
8.875 6.344 18.810 1.188
8.875 6.625 19.206 1.192
8.875 6.906 19.739 1.197
8.875 7.188 20.000 1.200
8.875 7.469 20.000 1.200
8.875 7.750 20.000 1.200
8.875 8.031 20.000 1.200
8.875 8.312 20.000 1.200
8.875 8.594 20.000 1.200
8.875 8.875 20.000 1.200
8.875 9.156 20.000 1.200
8.875 9.438 20.000 1.200
8.875 9.719 20.000 1.200
9.156 1.000 15.000 1.150
9.156 1.281 15.000 1.150
9.156 1.562 15.000 1.150
9.156 1.844 15.000 1.150
9.156 2.125 15.000 1.150
9.156 2.406 15.000 1.150
9.156 2.688 15.000 1.150
9.156 2.969 15.000 1.150
9.156 3.250 15.582 1.156
9.156 3.531 16.024 1.160
9.156 3.812 16.377 1.164
9.156 4.094 16.679 1.167
9.156 4.375 16.951 1.170
9.156 4.656 17.203 1.172
9.156 4.938 17.447 1.174
9.156 5.219 17.688 1.177
9.156 5.500 17.935 1.179
9.156 5.781 18.197 1.182
9.156 6.062 18.483 1.185
9.156 6.344 18.810 1.188
9.156 6.625 19.206 1.192
9.156 6.906 19.739 1.197
9.156 7.188 20.000 1.200
9.156 7.469 20.000 1.200
9.156 7.750 20.000 1.200
9.156 8.031 20.000 1.200
9.156 8.312 20.000 1.200
9.156 8.594 20.000 1.200
9.156 8.875 20.000 1.200
9.156 9.156 20.000 1.200
9.156 9.438 20.000 1.200
9.156 9.719 20.000 1.200
9.438 1.000 15.000 1.150
9.438 1.281 15.000 1.150
9.438 1.562 15.000 1.150
9.438 1.844 15.000 1.150
9.438 2.125 15.000 1.150
9.438 2.406 15.000 1.150
9.438 2.688 15.000 1.150
9.438 2.969 15.000 1.150
9.438 3.250 15.582 1.156
9.438 3.531 16.024 1.160
9.438 3.812 16.377 1.164
9.438 4.094 16.679 1.167
9.438 4.375 16.951 1.170
9.438 4.656 17.203 1.172
9.438 4.938 17.447 1.174
9.438 5.219 17.688 1.177
9.438 5.500 17.935 1.179
9.438 5.781 18.197 1.182
9.438 6.062 18.483 1.185
9.438 6.344 18.810 1.188
9.438 6.625 19.206 1.192
9.438 6.906 19.739 1.197
9.438 7.188 20.000 1.200
9.438 7.469 20.000 1.200
9.438 7.750 20.000 1.200
9.438 8.031 20.000 1.200
9.438 8.312 20.000 1.200
9.438 8.594 20.000 1.200
9.438 8.875 20.000 1.200
9.438 9.156 20.000 1.200
9.438 9.438 20.000 1.200
9.438 9.719 20.000 1.200
9.719 1.000 15.000 1.150
9.719 1.281 15.000 1.150
9.719 1.562 15.000 1.150
9.719 1.844 15.000 1.150
9.719 2.125 15.000 1.150
9.719 2.406 15.000 1.150
9.719 2.688 15.000 1.150
9.719 2.969 15.000 1.150
9.719 3.250 15.582 1.156
9.719 3.531 16.024 1.160
9.719 3.812 16.377 1.164
9.719 4.094 16.679 1.167
9.719 4.375 16.951 1.170
9.719 4.656 17.203 1.172
9.719 4.938 17.447 1.174
9.719 5.219 17.688 1.177
9.719 5.500 17.935 1.179
9.719 5.781 18.197 1.182
9.719 6.062 18.483 1.185
9.719 6.344 18.810 1.188
9.719 6.625 19.206 1.192
9.719 6.906 19.739 1.197
9.719 7.188 20.000 1.200
9.719 7.469 20.000 1.200
9.719 7.750 20.000 1.200
9.719 8.031 20.000 1.200
9.719 8.312 20.000 1.200
9.719 8.594 20.000 1.200
9.719 8.875 20.000 1.200
9.719 9.156 20.000 1.200
9.719 9.438 20.000 1.200
9.719 9.719 20.000 1.200
